,NEGATIVE,POSITIVE,pnr_ratio,group_number,published_at_max,open_date,close_date,close_date_30,close_date_60,ret_7,ret_30,ret_60
22,142.0,120.0,0.4580152671755725,294,2018-09-28 14:36:41+00:00,2018-09-29,2018-10-06,2018-10-29,2018-11-28,-0.01802749515559128,0.0017715023116326634,0.01580500215416821
24,156.0,150.0,0.49019607843137253,302,2018-11-22 17:07:32+00:00,2018-11-23,2018-11-30,2018-12-23,2019-01-22,0.0374861773380942,-0.15876518405865614,-0.06284451935522264
27,615.0,905.0,0.5953947368421053,394,2020-08-26 12:00:44+00:00,2020-08-27,2020-09-03,2020-09-26,2020-10-26,-0.0014641152169668095,-0.020497763109757986,0.1756955368743845
29,704.0,420.0,0.3736654804270463,406,2020-11-16 23:00:09+00:00,2020-11-17,2020-11-24,2020-12-17,2021-01-16,0.09122390649182516,0.04849876890696406,0.15704366050448784
32,854.0,339.0,0.28415758591785417,431,2021-05-08 12:30:01+00:00,2021-05-09,2021-05-16,2021-06-08,2021-07-08,0.031409225635131634,0.3268253063441255,0.1935486232107776
34,373.0,242.0,0.3934959349593496,432,2021-05-19 17:58:25+00:00,2021-05-20,2021-05-27,2021-06-19,2021-07-19,0.1884983874468395,0.18051119206311894,0.06070275709700916
36,872.0,521.0,0.3740129217516152,440,2021-07-16 12:00:12+00:00,2021-07-17,2021-07-24,2021-08-16,2021-09-15,0.05886797014546824,0.015849090350021036,-0.0022641890629688482
38,727.0,347.0,0.3230912476722533,458,2021-11-16 13:00:09+00:00,2021-11-17,2021-11-24,2021-12-17,2022-01-16,0.031001331213790857,0.006562747661008201,0.24127473735441715
40,557.0,349.0,0.3852097130242826,465,2022-01-06 13:00:34+00:00,2022-01-07,2022-01-14,2022-02-06,2022-03-08,0.02107831471298827,-0.27109933332781494,-0.34688212018914294
42,311.0,211.0,0.4042145593869732,470,2022-02-06 13:41:56+00:00,2022-02-07,2022-02-14,2022-03-09,2022-04-08,-0.015228505622876282,-0.07670608694006661,-0.15115621965179868
44,622.0,252.0,0.28832951945080093,493,2022-07-19 10:00:03+00:00,2022-07-20,2022-07-27,2022-08-19,2022-09-18,0.04682531213748371,0.2728871481799115,0.19673841475929899
46,315.0,127.0,0.2873303167420814,502,2022-09-20 12:30:17+00:00,2022-09-21,2022-09-28,2022-10-21,2022-11-20,-0.08006034203133158,-0.0793052005506137,0.06463884720592547
48,969.0,592.0,0.3792440743113389,511,2022-11-24 14:39:34+00:00,2022-11-25,2022-12-02,2022-12-25,2023-01-24,-0.0071633125849647995,-0.19770772147298477,-0.08739259853483562
